S.No,OHU,Gender,Age,Religion,Caste,Scholarship,Time_to_reach_college(HRS),X_pct,X_Board,XII_pct,XII_Board,Diploma_pct,University,Private_Class,Number_of_Subjects,Overall_Attendance,Major_Illness,Score_of_Exam_CET,Score_of_Exam_AIEEE,Fathers_Ocuupation,Fathers_Education,F_Stream,F_Health_Issue,Mothers_Ocuupation,Mothers_Education,M_Stream,M_Health_Issue,Family_Income,No_of_Siblings,Extra_Curricular_Activity,Active_in_Sports,Drop,SEM1_CGPA,SEM1_KT,SEM2_CGPA,SEM2_KT,SEM3_CGPA,SEM3_KT,SEM4_CGPA,SEM4_KT,SEM5_CGPA,SEM5_KT,SEM6_CGPA,SEM6_KT
59,0,1,23,1,3,1,108,72,1,65,2,NA,NA,1,3,3,2,146,161,3,3,2,2,2,1,1,1,3,1,2,1,2,No_CGPA,1,No_CGPA,4,9.29,No_KT,No_CGPA,2,No_CGPA,2,No_CGPA,1
60,0,2,24,2,2,1,63,69,2,76,1,NA,NA,2,0,2,2,127,191,2,3,1,2,2,3,3,3,2,2,2,2,2,5.59,No_KT,5.72,No_KT,6.43,No_KT,5.26,No_KT,6.92,No_KT,9.86,No_KT
61,0,1,23,1,3,1,27,51,1,68,3,NA,NA,1,2,1,2,91,173,2,2,3,2,3,2,1,2,2,1,1,2,2,8.84,No_KT,6.62,No_KT,5.23,No_KT,6.76,No_KT,8.82,No_KT,5.58,No_KT
62,0,1,21,1,3,1,28,71,1,76,2,NA,NA,1,5,2,2,171,132,2,3,3,1,1,2,2,1,1,2,3,1,1,No_CGPA,2,No_CGPA,3,7.64,No_KT,6.42,No_KT,No_CGPA,6,No_CGPA,3
63,0,1,21,1,3,1,67,54,1,76,1,NA,NA,2,0,2,2,130,162,1,1,2,1,1,2,3,2,2,3,2,2,2,6.94,No_KT,6.57,No_KT,9.70,No_KT,9.16,No_KT,6.78,No_KT,8.6,No_KT
64,0,1,22,1,3,1,26,64,1,52,3,NA,NA,2,0,3,2,109,270,2,2,2,1,3,3,2,3,2,3,3,2,2,5.52,No_KT,6.27,No_KT,9.65,No_KT,5.89,No_KT,9.33,No_KT,7.98,No_KT
65,0,2,23,2,2,1,49,93,3,86,1,NA,NA,2,0,1,1,103,152,1,1,2,2,3,2,2,3,3,3,1,1,2,5.24,No_KT,7.87,No_KT,9.43,No_KT,9.1,No_KT,8.60,No_KT,8.16,No_KT
66,0,2,24,3,2,1,90,92,3,80,1,NA,NA,2,0,1,1,122,263,2,2,1,2,3,3,3,1,1,2,1,1,2,7.91,No_KT,6.29,No_KT,9.19,No_KT,5.74,No_KT,6.20,No_KT,6.17,No_KT
67,0,1,24,1,3,1,65,95,1,NA,NA,73,2,1,5,2,2,NA,NA,2,1,3,2,1,2,3,3,3,3,1,2,2,No_CGPA,1,No_CGPA,1,5.4,No_KT,9.61,No_KT,5.25,No_KT,8.72,No_KT
68,0,2,21,5,1,1,20,95,2,66,2,NA,NA,2,0,3,1,102,234,2,2,2,2,2,2,3,1,3,2,3,2,2,8.79,No_KT,9.45,No_KT,5.13,No_KT,8.89,No_KT,8.7,No_KT,6.81,No_KT
69,0,1,24,1,3,1,74,73,1,94,2,NA,NA,1,3,2,2,150,250,4,3,3,2,2,2,1,2,2,2,2,2,2,9.67,No_KT,6.39,No_KT,7.12,No_KT,8.28,No_KT,6.94,No_KT,6.46,No_KT
70,0,2,21,5,1,1,114,67,3,NA,NA,76,1,1,4,3,2,NA,NA,4,2,3,1,2,3,2,3,1,3,1,1,2,9.55,No_KT,9.88,No_KT,6.23,No_KT,9.8,No_KT,5.13,No_KT,6.39,No_KT
71,0,1,24,1,3,1,98,84,1,59,2,NA,NA,2,0,3,2,145,232,2,2,1,1,2,2,2,3,3,2,2,1,2,9.36,No_KT,9.1,No_KT,No_CGPA,5,9.58,No_KT,9.84,No_KT,6.56,No_KT
72,0,1,21,1,3,1,92,86,1,93,1,NA,NA,2,0,1,2,107,155,4,3,3,2,1,3,2,1,2,1,3,2,2,9.63,No_KT,8.37,No_KT,5.61,No_KT,5.76,No_KT,9.70,No_KT,8.58,No_KT
73,0,1,23,1,3,1,103,51,1,NA,NA,70,2,1,1,3,2,NA,NA,4,3,1,1,2,1,2,3,3,2,3,1,1,No_CGPA,3,No_CGPA,6,No_CGPA,6,No_CGPA,5,8.53,No_KT,No_CGPA,1
74,0,1,22,1,3,1,31,90,1,54,3,NA,NA,2,0,1,2,115,184,3,1,2,1,2,2,2,1,1,2,1,1,2,5.3,No_KT,9.66,No_KT,7.54,No_KT,9.75,No_KT,5.33,No_KT,6.60,No_KT
75,1,2,21,1,1,2,107,66,3,65,3,NA,NA,1,5,3,1,116,214,1,2,2,2,2,2,1,2,3,1,3,2,2,7.28,No_KT,6.49,No_KT,8.92,No_KT,6.65,No_KT,5.81,No_KT,9.30,No_KT
76,0,1,21,1,3,1,37,89,1,94,3,NA,NA,2,0,1,2,152,182,1,2,2,2,1,2,2,3,1,2,2,2,1,No_CGPA,3,9.25,No_KT,No_CGPA,3,6.71,No_KT,No_CGPA,1,7.52,No_KT
77,0,1,22,1,3,1,67,81,1,75,3,NA,NA,2,0,3,2,155,229,4,3,2,2,3,3,3,3,3,2,3,1,2,7.18,No_KT,8.86,No_KT,6.6,No_KT,7.80,No_KT,9.86,No_KT,8.64,No_KT
78,0,1,23,1,3,1,117,90,1,73,2,NA,NA,2,0,3,2,96,256,3,2,3,2,3,2,2,2,2,3,2,2,2,9.19,No_KT,5.58,No_KT,8.22,No_KT,9.68,No_KT,8.38,No_KT,8.34,No_KT
79,0,1,24,1,3,1,97,65,1,NA,NA,80,2,1,2,2,2,NA,NA,3,3,2,2,1,3,1,1,1,1,3,2,2,6.92,No_KT,7.48,No_KT,7.86,No_KT,8.38,No_KT,5.46,No_KT,9.42,No_KT
80,0,2,22,5,1,1,32,52,3,67,3,NA,NA,2,0,2,2,168,193,3,3,1,2,3,1,1,3,2,3,2,1,2,6.29,No_KT,8.6,No_KT,9.43,No_KT,6.83,No_KT,7.52,No_KT,8.15,No_KT
81,0,2,24,3,1,1,82,89,3,67,2,NA,NA,1,3,3,1,75,180,3,3,3,2,2,1,1,3,3,2,3,1,2,5.26,No_KT,9.86,No_KT,9.1,No_KT,8.27,No_KT,5.40,No_KT,9.87,No_KT
82,1,2,22,5,2,2,65,50,3,61,3,NA,NA,2,0,1,2,85,135,3,3,2,1,2,2,2,2,3,1,2,1,2,6.3,No_KT,No_CGPA,2,9.63,No_KT,No_CGPA,1,9.27,No_KT,6.43,No_KT
83,0,1,24,1,3,1,22,84,1,89,3,NA,NA,2,0,2,2,103,236,4,1,2,2,1,2,3,1,2,3,1,1,2,8.6,No_KT,8.56,No_KT,5.25,No_KT,5.13,No_KT,7.70,No_KT,7.32,No_KT
84,0,2,22,2,1,1,108,51,3,53,3,NA,NA,2,0,3,2,173,155,1,1,1,1,1,3,1,1,3,3,3,2,2,9.4,No_KT,7.86,No_KT,5.61,No_KT,7.8,No_KT,7.78,No_KT,9.90,No_KT
85,0,1,23,1,3,1,74,64,1,65,2,NA,NA,1,2,3,2,148,254,1,2,3,2,3,1,2,2,2,2,3,2,2,8.34,No_KT,No_CGPA,4,No_CGPA,3,6.76,No_KT,5.75,No_KT,6.17,No_KT
86,0,1,21,1,3,1,83,91,1,69,1,NA,NA,1,4,3,2,123,212,3,2,3,2,1,2,3,3,3,2,2,2,2,8.59,No_KT,9.32,No_KT,9.73,No_KT,5.29,No_KT,7.33,No_KT,5.15,No_KT
87,0,2,21,5,2,1,78,73,2,93,3,NA,NA,2,0,1,2,158,168,3,1,3,1,3,2,3,2,2,2,1,2,2,No_CGPA,5,7.76,No_KT,No_CGPA,5,9.86,No_KT,9.25,No_KT,No_CGPA,1
88,0,1,23,1,3,1,100,53,1,56,2,NA,NA,2,0,3,2,87,207,1,3,2,1,2,1,1,1,2,2,2,1,1,7.91,No_KT,No_CGPA,5,7.29,No_KT,No_CGPA,3,6.31,No_KT,No_CGPA,5
89,0,1,24,1,3,1,43,60,1,52,2,NA,NA,2,0,1,2,86,269,3,3,1,1,3,3,1,3,3,2,3,1,2,8.62,No_KT,5.79,No_KT,9.48,No_KT,7.58,No_KT,7.39,No_KT,9.80,No_KT
90,0,1,24,1,3,1,25,57,1,86,3,NA,NA,2,0,2,2,104,133,3,2,2,1,3,3,1,3,2,3,1,1,1,No_CGPA,3,6.96,No_KT,No_CGPA,3,6.31,No_KT,No_CGPA,6,No_CGPA,1
91,0,1,21,1,3,1,98,75,1,73,3,NA,NA,2,0,3,2,78,134,1,3,1,2,2,1,1,2,3,3,3,2,2,7.80,No_KT,5.19,No_KT,6.94,No_KT,6.39,No_KT,8.8,No_KT,9.36,No_KT
92,0,2,23,5,1,1,67,89,3,55,3,NA,NA,1,3,2,2,110,258,2,2,2,2,2,1,1,3,2,3,2,1,2,8.86,No_KT,9.36,No_KT,6.43,No_KT,6.97,No_KT,8.70,No_KT,9.0,No_KT
93,0,1,23,1,3,1,31,87,1,84,2,NA,NA,2,0,1,2,142,264,2,2,1,1,1,3,2,1,2,3,1,2,2,8.9,No_KT,9.33,No_KT,No_CGPA,5,5.25,No_KT,9.63,No_KT,No_CGPA,2
94,0,2,23,3,1,1,37,67,3,71,3,NA,NA,1,4,2,2,104,192,3,1,3,1,3,1,3,3,2,3,3,1,2,8.39,No_KT,5.42,No_KT,8.43,No_KT,6.98,No_KT,5.11,No_KT,9.0,No_KT
95,0,1,22,1,3,1,55,76,1,65,2,NA,NA,2,0,1,2,169,262,1,1,2,2,2,1,3,1,2,2,2,2,2,6.68,No_KT,6.26,No_KT,7.29,No_KT,6.65,No_KT,7.54,No_KT,9.72,No_KT
96,0,2,24,5,2,1,63,62,3,70,1,NA,NA,1,5,2,1,156,126,2,1,3,1,3,2,2,3,3,1,1,2,1,No_CGPA,4,9.20,No_KT,No_CGPA,2,No_CGPA,3,No_CGPA,3,No_CGPA,6
97,0,1,24,1,3,1,85,86,1,94,2,NA,NA,2,0,3,2,175,161,2,2,1,1,3,3,1,2,2,3,3,1,2,8.4,No_KT,9.27,No_KT,9.85,No_KT,9.71,No_KT,5.23,No_KT,9.66,No_KT
98,0,1,23,1,3,1,27,55,1,72,3,NA,NA,1,2,2,2,178,180,1,3,1,1,1,3,2,2,2,3,2,2,2,6.19,No_KT,6.17,No_KT,6.89,No_KT,9.22,No_KT,8.31,No_KT,6.87,No_KT
99,0,1,24,1,3,1,75,60,1,63,2,NA,NA,1,2,2,2,176,207,2,1,1,1,3,1,2,2,3,1,1,1,2,6.31,No_KT,6.17,No_KT,7.96,No_KT,9.80,No_KT,6.46,No_KT,6.91,No_KT
100,0,2,21,3,2,1,26,68,2,59,2,NA,NA,1,4,1,1,141,235,1,3,1,1,1,3,3,3,2,1,1,2,2,9.58,No_KT,5.46,No_KT,7.66,No_KT,5.1,No_KT,7.0,No_KT,8.63,No_KT
101,1,1,22,3,1,2,90,59,1,94,1,NA,NA,2,0,1,2,139,262,4,1,2,2,2,1,2,1,3,1,2,1,2,9.89,No_KT,9.42,No_KT,6.53,No_KT,9.10,No_KT,6.18,No_KT,8.55,No_KT
102,0,2,21,4,1,1,34,78,2,75,3,NA,NA,1,4,1,1,106,201,3,1,3,2,1,3,1,3,2,1,1,1,2,8.27,No_KT,6.37,No_KT,7.99,No_KT,7.0,No_KT,8.92,No_KT,7.45,No_KT
103,0,2,21,3,2,1,26,68,2,86,2,NA,NA,2,0,1,1,130,201,1,3,1,1,1,3,3,3,2,1,1,2,2,6.23,No_KT,8.80,No_KT,5.70,No_KT,5.8,No_KT,9.34,No_KT,7.5,No_KT
104,0,2,24,5,2,1,93,68,3,79,2,NA,NA,1,5,2,1,168,192,2,1,3,1,3,2,2,3,3,1,1,2,2,5.15,No_KT,6.8,No_KT,5.84,No_KT,8.41,No_KT,5.37,No_KT,9.64,No_KT
105,0,1,22,1,3,1,96,52,1,82,3,NA,NA,1,4,1,2,175,187,3,2,1,2,2,3,3,1,1,1,3,2,2,9.97,No_KT,9.99,No_KT,6.14,No_KT,6.12,No_KT,7.18,No_KT,6.80,No_KT
106,0,2,23,5,2,1,88,52,3,59,2,NA,NA,1,5,1,1,135,231,3,2,1,2,1,1,1,3,3,2,1,1,2,7.4,No_KT,8.14,No_KT,7.91,No_KT,7.20,No_KT,5.79,No_KT,5.45,No_KT
107,0,2,23,5,2,1,118,53,3,58,3,NA,NA,1,5,1,1,88,135,3,1,3,2,3,2,2,1,1,2,2,2,2,No_CGPA,6,No_CGPA,6,No_CGPA,6,No_CGPA,4,6.31,No_KT,No_CGPA,4
108,0,2,22,4,2,1,76,70,2,60,2,NA,NA,1,2,1,2,179,205,3,2,3,2,2,2,2,3,1,3,3,2,2,No_CGPA,3,5.61,No_KT,9.48,No_KT,No_CGPA,1,No_CGPA,6,No_CGPA,4
